ticker,name,gics_sector,gics_industry,source
CIEN,Ciena,Information Technology,Communications Equipment,sp500
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,sp500
CL,Colgate-Palmolive,Consumer Staples,Household Products,sp500
CLX,Clorox,Consumer Staples,Household Products,sp500
CMCSA,Comcast,Communication Services,Cable & Satellite,ndx100+sp500
CME,CME Group,Financials,Financial Exchanges & Data,sp500
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,sp500
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,sp500
CMS,CMS Energy,Utilities,Multi-Utilities,sp500
CNC,Centene Corporation,Health Care,Managed Health Care,sp500
CNP,CenterPoint Energy,Utilities,Multi-Utilities,sp500
COF,Capital One,Financials,Consumer Finance,sp500
COHR,Coherent Corp.,Information Technology,Electronic Components,sp500
COIN,Coinbase,Financials,Financial Exchanges & Data,sp500
COO,Cooper Companies (The),Health Care,Health Care Supplies,sp500
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,sp500
COR,Cencora,Health Care,Health Care Distributors,sp500
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,ndx100+sp500
CPAY,Corpay,Financials,Transaction & Payment Processing Services,sp500
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,sp500
CPRT,Copart,Industrials,Diversified Support Services,ndx100+sp500
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,sp500
CRH,CRH plc,Materials,Construction Materials,sp500
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,sp500
CRM,Salesforce,Information Technology,Application Software,sp500
CRWD,CrowdStrike,Information Technology,Systems Software,ndx100+sp500
CSCO,Cisco,Information Technology,Communications Equipment,ndx100+sp500
CSGP,CoStar Group,Real Estate,Real Estate Services,sp500
CSX,CSX Corporation,Industrials,Rail Transportation,ndx100+sp500
CTAS,Cintas,Industrials,Diversified Support Services,ndx100+sp500
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,ndx100+sp500
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,sp500
CVNA,Carvana,Consumer Discretionary,Automotive Retail,sp500
CVS,CVS Health,Health Care,Health Care Services,sp500
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,sp500
D,Dominion Energy,Utilities,Multi-Utilities,sp500
DAL,Delta Air Lines,Industrials,Passenger Airlines,sp500
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,ndx100+sp500
DD,DuPont,Materials,Specialty Chemicals,sp500
DDOG,Datadog,Information Technology,Application Software,ndx100+sp500
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,sp500
DECK,Deckers Brands,Consumer Discretionary,Footwear,sp500
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",sp500
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,sp500
DGX,Quest Diagnostics,Health Care,Health Care Services,sp500
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,sp500
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,sp500
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,sp500
DLR,Digital Realty,Real Estate,Data Center REITs,sp500
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,sp500
DOC,Healthpeak Properties,Real Estate,Health Care REITs,sp500
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,sp500
DOW,Dow Inc.,Materials,Commodity Chemicals,sp500
DPZ,Domino's,Consumer Discretionary,Restaurants,sp500
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,sp500
DTE,DTE Energy,Utilities,Multi-Utilities,sp500
DUK,Duke Energy,Utilities,Electric Utilities,sp500
DVA,DaVita,Health Care,Health Care Services,sp500
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,sp500
DXCM,Dexcom,Health Care,Health Care Equipment,ndx100+sp500
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,ndx100+sp500
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,sp500
ECL,Ecolab,Materials,Specialty Chemicals,sp500
ED,Consolidated Edison,Utilities,Multi-Utilities,sp500
EFX,Equifax,Industrials,Research & Consulting Services,sp500
EG,Everest Group,Financials,Reinsurance,sp500
EIX,Edison International,Utilities,Electric Utilities,sp500
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,sp500
ELV,Elevance Health,Health Care,Managed Health Care,sp500
EME,Emcor,Industrials,Construction & Engineering,sp500
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,sp500
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,sp500
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,sp500
EQIX,Equinix,Real Estate,Data Center REITs,sp500
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,sp500
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,sp500
ERIE,Erie Indemnity,Financials,Insurance Brokers,sp500
ES,Eversource Energy,Utilities,Electric Utilities,sp500
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,sp500
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,sp500
ETR,Entergy,Utilities,Electric Utilities,sp500
EVRG,Evergy,Utilities,Electric Utilities,sp500
EW,Edwards Lifesciences,Health Care,Health Care Equipment,sp500
EXC,Exelon,Utilities,Electric Utilities,ndx100+sp500
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,sp500
EXPD,Expeditors International,Industrials,Air Freight & Logistics,sp500
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,sp500
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,sp500
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,ndx100+sp500
FAST,Fastenal,Industrials,Trading Companies & Distributors,ndx100+sp500
FCX,Freeport-McMoRan,Materials,Copper,sp500
FDS,FactSet,Financials,Financial Exchanges & Data,sp500
FDX,FedEx,Industrials,Air Freight & Logistics,sp500
FE,FirstEnergy,Utilities,Electric Utilities,sp500
FER,Ferrovial,"Military, Government, Technical",Industrials,ndx100
FFIV,"F5, Inc.",Information Technology,Communications Equipment,sp500
FICO,Fair Isaac,Information Technology,Application Software,sp500
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,sp500
FISV,Fiserv,Financials,Transaction & Payment Processing Services,sp500
FITB,Fifth Third Bancorp,Financials,Regional Banks,sp500
FIX,Comfort Systems USA,Industrials,Construction & Engineering,sp500
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,sp500
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,sp500
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,sp500
FSLR,First Solar,Information Technology,Semiconductors,sp500
FTNT,Fortinet,Information Technology,Systems Software,ndx100+sp500
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,sp500
GD,General Dynamics,Industrials,Aerospace & Defense,sp500
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,sp500
GE,GE Aerospace,Industrials,Aerospace & Defense,sp500
GEHC,GE HealthCare,Health Care,Health Care Equipment,ndx100+sp500
GEN,Gen Digital,Information Technology,Systems Software,sp500
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,sp500
GILD,Gilead Sciences,Health Care,Biotechnology,ndx100+sp500
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,sp500
GL,Globe Life,Financials,Life & Health Insurance,sp500
GLW,Corning Inc.,Information Technology,Electronic Components,sp500
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,sp500
GNRC,Generac,Industrials,Electrical Components & Equipment,sp500
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,ndx100+sp500
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,ndx100+sp500
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,sp500
GPN,Global Payments,Financials,Transaction & Payment Processing Services,sp500
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,sp500
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,sp500
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,sp500
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,sp500
HAS,Hasbro,Consumer Discretionary,Leisure Products,sp500
HBAN,Huntington Bancshares,Financials,Regional Banks,sp500
HCA,HCA Healthcare,Health Care,Health Care Facilities,sp500
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,sp500
HIG,Hartford (The),Financials,Property & Casualty Insurance,sp500
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,sp500
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500
HON,Honeywell,Industrials,Industrial Conglomerates,ndx100+sp500
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,sp500
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",sp500
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",sp500
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,sp500
HSIC,Henry Schein,Health Care,Health Care Distributors,sp500
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,sp500
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,sp500
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,sp500
HUM,Humana,Health Care,Managed Health Care,sp500
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,sp500
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,sp500
IBM,IBM,Information Technology,IT Consulting & Other Services,sp500
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,sp500
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,ndx100+sp500
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,sp500
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,sp500
INCY,Incyte,Health Care,Biotechnology,sp500
INSM,Insmed Incorporated,Biotechnology,Health Care,ndx100
INTC,Intel,Information Technology,Semiconductors,ndx100+sp500
INTU,Intuit,Information Technology,Application Software,ndx100+sp500
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,sp500
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,sp500
IQV,IQVIA,Health Care,Life Sciences Tools & Services,sp500
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,sp500
IRM,Iron Mountain,Real Estate,Other Specialized REITs,sp500
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,ndx100+sp500
IT,Gartner,Information Technology,IT Consulting & Other Services,sp500
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,sp500
IVZ,Invesco,Financials,Asset Management & Custody Banks,sp500
J,Jacobs Solutions,Industrials,Construction & Engineering,sp500
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,sp500
JBL,Jabil,Information Technology,Electronic Manufacturing Services,sp500
JCI,Johnson Controls,Industrials,Building Products,sp500
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,sp500
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,sp500
JPM,JPMorgan Chase,Financials,Diversified Banks,sp500
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,ndx100+sp500
KEY,KeyCorp,Financials,Regional Banks,sp500
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,sp500
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,ndx100+sp500
KIM,Kimco Realty,Real Estate,Retail REITs,sp500
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,sp500
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,ndx100+sp500
KMB,Kimberly-Clark,Consumer Staples,Household Products,sp500
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,sp500
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,sp500
KR,Kroger,Consumer Staples,Food Retail,sp500
KVUE,Kenvue,Consumer Staples,Personal Care Products,sp500
L,Loews Corporation,Financials,Multi-line Insurance,sp500
LDOS,Leidos,Industrials,Diversified Support Services,sp500
LEN,Lennar,Consumer Discretionary,Homebuilding,sp500
LH,Labcorp,Health Care,Health Care Services,sp500
LHX,L3Harris,Industrials,Aerospace & Defense,sp500
LII,Lennox International,Industrials,Building Products,sp500
LIN,Linde plc,Materials,Industrial Gases,ndx100+sp500
LITE,Lumentum,Information Technology,Communications Equipment,ndx100+sp500
LLY,Lilly (Eli),Health Care,Pharmaceuticals,sp500
LMT,Lockheed Martin,Industrials,Aerospace & Defense,sp500
LNT,Alliant Energy,Utilities,Electric Utilities,sp500
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,sp500
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,ndx100+sp500
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",sp500
LUV,Southwest Airlines,Industrials,Passenger Airlines,sp500
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,sp500
LYB,LyondellBasell,Materials,Specialty Chemicals,sp500
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,sp500
MA,Mastercard,Financials,Transaction & Payment Processing Services,sp500
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,sp500
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",ndx100+sp500
MAS,Masco,Industrials,Building Products,sp500
MCD,McDonald's,Consumer Discretionary,Restaurants,sp500
MCHP,Microchip Technology,Information Technology,Semiconductors,ndx100+sp500
MCK,McKesson Corporation,Health Care,Health Care Distributors,sp500
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,sp500
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,ndx100+sp500
MDT,Medtronic,Health Care,Health Care Equipment,sp500
MELI,Mercado Libre,Catalog/Specialty Distribution,Consumer Discretionary,ndx100
MET,MetLife,Financials,Life & Health Insurance,sp500
META,Meta Platforms,Communication Services,Interactive Media & Services,ndx100+sp500
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,sp500
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,sp500
MLM,Martin Marietta Materials,Materials,Construction Materials,sp500
MMM,3M,Industrials,Industrial Conglomerates,sp500
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,ndx100+sp500
MO,Altria,Consumer Staples,Tobacco,sp500
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,sp500
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,sp500
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,ndx100+sp500
MRK,Merck & Co.,Health Care,Pharmaceuticals,sp500
MRNA,Moderna,Health Care,Biotechnology,sp500
MRSH,Marsh McLennan,Financials,Insurance Brokers,sp500
MRVL,Marvell Technology,Semiconductors,Technology,ndx100
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,sp500
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,sp500
MSFT,Microsoft,Information Technology,Systems Software,ndx100+sp500
MSI,Motorola Solutions,Information Technology,Communications Equipment,sp500
MSTR,MicroStrategy,Computer Software,Technology,ndx100
MTB,M&T Bank,Financials,Regional Banks,sp500
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,sp500
MU,Micron Technology,Information Technology,Semiconductors,ndx100+sp500
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,sp500
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,sp500
NEE,NextEra Energy,Utilities,Multi-Utilities,sp500
NEM,Newmont,Materials,Gold,sp500
NFLX,Netflix,Communication Services,Movies & Entertainment,ndx100+sp500
NI,NiSource,Utilities,Multi-Utilities,sp500
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",sp500
NOC,Northrop Grumman,Industrials,Aerospace & Defense,sp500
NOW,ServiceNow,Information Technology,Systems Software,sp500
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,sp500
NSC,Norfolk Southern,Industrials,Rail Transportation,sp500
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",sp500
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,sp500
NUE,Nucor,Materials,Steel,sp500
NVDA,Nvidia,Information Technology,Semiconductors,ndx100+sp500
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,sp500
NWS,News Corp (Class B),Communication Services,Publishing,sp500
NWSA,News Corp (Class A),Communication Services,Publishing,sp500
NXPI,NXP Semiconductors,Information Technology,Semiconductors,ndx100+sp500
O,Realty Income,Real Estate,Retail REITs,sp500
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,ndx100+sp500
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,sp500
OMC,Omnicom Group,Communication Services,Advertising,sp500
ON,ON Semiconductor,Information Technology,Semiconductors,sp500
ORCL,Oracle Corporation,Information Technology,Application Software,sp500
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,ndx100+sp500
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,sp500
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,sp500
PANW,Palo Alto Networks,Information Technology,Systems Software,ndx100+sp500
PAYX,Paychex,Industrials,Human Resource & Employment Services,ndx100+sp500
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,ndx100+sp500
PCG,PG&E Corporation,Utilities,Multi-Utilities,sp500
PDD,PDD Holdings,EDP Services,Technology,ndx100
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,sp500
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,ndx100+sp500
PFE,Pfizer,Health Care,Pharmaceuticals,sp500
PFG,Principal Financial Group,Financials,Life & Health Insurance,sp500
PG,Procter & Gamble,Consumer Staples,Personal Care Products,sp500
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,sp500
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,sp500
PHM,PulteGroup,Consumer Discretionary,Homebuilding,sp500
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,sp500
PLD,Prologis,Real Estate,Industrial REITs,sp500
PLTR,Palantir Technologies,Information Technology,Application Software,ndx100+sp500
PM,Philip Morris International,Consumer Staples,Tobacco,sp500
PNC,PNC Financial Services,Financials,Diversified Banks,sp500
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,sp500
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,sp500
PODD,Insulet Corporation,Health Care,Health Care Equipment,sp500
POOL,Pool Corporation,Consumer Discretionary,Distributors,sp500
PPG,PPG Industries,Materials,Specialty Chemicals,sp500
PPL,PPL Corporation,Utilities,Electric Utilities,sp500
PRU,Prudential Financial,Financials,Life & Health Insurance,sp500
PSA,Public Storage,Real Estate,Self-Storage REITs,sp500
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,sp500
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,sp500
PTC,PTC Inc.,Information Technology,Application Software,sp500
PWR,Quanta Services,Industrials,Construction & Engineering,sp500
PYPL,PayPal,Financials,Transaction & Payment Processing Services,ndx100+sp500
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,sp500
QCOM,Qualcomm,Information Technology,Semiconductors,ndx100+sp500
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500
REG,Regency Centers,Real Estate,Retail REITs,sp500
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,ndx100+sp500
RF,Regions Financial Corporation,Financials,Regional Banks,sp500
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,sp500
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",sp500
RMD,ResMed,Health Care,Health Care Equipment,sp500
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,sp500
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,sp500
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,ndx100+sp500
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,ndx100+sp500
RSG,Republic Services,Industrials,Environmental & Facilities Services,sp500
RTX,RTX Corporation,Industrials,Aerospace & Defense,sp500
RVTY,Revvity,Health Care,Health Care Equipment,sp500
SATS,EchoStar,Communication Services,Wireless Telecommunication Services,sp500
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,sp500
SBUX,Starbucks,Consumer Discretionary,Restaurants,ndx100+sp500
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,sp500
SHOP,Shopify,Computer Software,Technology,ndx100
SHW,Sherwin-Williams,Materials,Specialty Chemicals,sp500
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,sp500
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,sp500
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",sp500
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,sp500
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",ndx100+sp500
SNPS,Synopsys,Information Technology,Application Software,ndx100+sp500
SO,Southern Company,Utilities,Electric Utilities,sp500
